,artist,rank,title
3416,Black Sheep,17,Strobelite Honey
3417,Beastie Boys,18,So What'cha Want
3418,Das EFX,19,Mic Checka
3419,Miles Davis,20,The Doo-Bop Song
3420,A.D.O.R.,21,Let It All Hang Out
3421,XClan,22,Xodus
3422,Raheem,23,5th Ward
3423,Fu-Schnickens,24,La Schmoove
3424,K-Solo,25,I Can't Hold Back
3425,Main Source,1,Fakin' The Funk
3426,EPMD,2,Crossover
3427,Eric B. & Rakim,3,Don't Sweat The Technique
3428,Yo-Yo,4,Home Girl Don't Play Dat
3429,Kris Kross,5,Warm It Up
3430,Too $hort,6,I Want To Be Free
3431,House Of Pain,7,Jump Around
3432,DJ Quik,8,Jus Lyke Compton
3433,Monie Love,9,"Full Term Love (From ""Class Act"")"
3434,Spice 1,10,Welcome To The Ghetto
3435,Chi-Ali,11,Roadrunner
3436,Das EFX,12,Mic Checka
3437,N2Deep,13,Back To The Hotel
3438,Kid Frost,14,Thin Line
3439,Super Cat,15,Ghetto Red Hot
3440,A.D.O.R.,16,Let It All Hang Out
3441,Pete Rock & C.L. Smooth,17,They Reminisce Over You (T.R.O.Y.)
3442,Miles Davis,18,The Doo-Bop Song
3443,Grand Puba,19,360 Degrees (What Goes Around)
3444,Da Youngsta's,20,Pass Da Mic
3445,XClan,21,Xodus
3446,Raheem,22,5th Ward
3447,The College Boyz,23,Hollywood Paradox
3448,Beastie Boys,24,So What'cha Want
3449,Ho Frat Ho!,25,Ho Frat Swing
3450,EPMD,1,Crossover
3451,Main Source,2,Fakin' The Funk
3452,Eric B. & Rakim,3,Don't Sweat The Technique
3453,DJ Quik,4,Jus Lyke Compton
3454,Too $hort,5,I Want To Be Free
3455,House Of Pain,6,Jump Around
3456,Monie Love,7,"Full Term Love (From ""Class Act"")"
3457,Spice 1,8,Welcome To The Ghetto
3458,Chi-Ali,9,Roadrunner
3459,Das EFX,10,Mic Checka
3460,Kris Kross,11,Warm It Up
3461,Arrested Development,12,People Everyday
3462,A.D.O.R.,13,Let It All Hang Out
3463,Super Cat,14,Ghetto Red Hot
3464,N2Deep,15,Back To The Hotel
3465,Yo-Yo,16,Home Girl Don't Play Dat
3466,Miles Davis,17,The Doo-Bop Song
3467,Grand Puba,18,360 Degrees (What Goes Around)
3468,Da Youngsta's,19,Pass Da Mic
3469,The College Boyz,20,Hollywood Paradox
3470,XClan,21,Xodus
3471,Kid Frost,22,Thin Line
3472,Ho Frat Ho!,23,Ho Frat Swing
3473,M.C. Brains,24,Brainstorming/G-String
3474,Pete Rock & C.L. Smooth,25,They Reminisce Over You (T.R.O.Y.)
3475,EPMD,1,Crossover
3476,Main Source,2,Fakin' The Funk
3477,Arrested Development,3,People Everyday
3478,DJ Quik,4,Jus Lyke Compton
3479,Das EFX,5,Mic Checka
3480,House Of Pain,6,Jump Around
3481,Too $hort,7,I Want To Be Free
3482,Spice 1,8,Welcome To The Ghetto
3483,Eric B. & Rakim,9,Don't Sweat The Technique
3484,Chi-Ali,10,Roadrunner
3485,A.D.O.R.,11,Let It All Hang Out
3486,Kris Kross,12,Warm It Up
3487,Super Cat,13,Ghetto Red Hot
3488,Grand Puba,14,360 Degrees (What Goes Around)
3489,Miles Davis,15,The Doo-Bop Song
3490,Da Youngsta's,16,Pass Da Mic
3491,N2Deep,17,Back To The Hotel
3492,The College Boyz,18,Hollywood Paradox
3493,Monie Love,19,"Full Term Love (From ""Class Act"")"
3494,M.C. Brains,20,Brainstorming/G-String
3495,MC Serch,21,Here It Comes/Back To The Grill
3496,XClan,22,Xodus
3497,Yo-Yo,23,Home Girl Don't Play Dat
3498,Luke,24,Breakdown
3499,Ho Frat Ho!,25,Ho Frat Swing
3500,EPMD,1,Crossover
3501,Arrested Development,2,People Everyday
3502,Das EFX,3,Mic Checka
3503,DJ Quik,4,Jus Lyke Compton
3504,House Of Pain,5,Jump Around
3505,Spice 1,6,Welcome To The Ghetto
3506,Grand Puba,7,360 Degrees (What Goes Around)
3507,Main Source,8,Fakin' The Funk
3508,A.D.O.R.,9,Let It All Hang Out
3509,Da Youngsta's,10,Pass Da Mic
3510,Super Cat,11,Ghetto Red Hot
3511,The College Boyz,12,Hollywood Paradox
3512,Miles Davis,13,The Doo-Bop Song
3513,Eric B. & Rakim,14,Don't Sweat The Technique
3514,Too $hort,15,I Want To Be Free
3515,MC Serch,16,Here It Comes/Back To The Grill
3516,Chi-Ali,17,Roadrunner
3517,N2Deep,18,Back To The Hotel
3518,Kris Kross,19,Warm It Up
3519,Bushwick Bill,20,Ever So Clear
3520,Luke,21,Breakdown
3521,Monie Love,22,"Full Term Love (From ""Class Act"")"
3522,M.C. Brains,23,Brainstorming/G-String
3523,Double XX,24,Head Cracker
3524,Highland Place Mobsters,25,Let's Get Naked
3525,Arrested Development,1,People Everyday
3526,EPMD,2,Crossover
3527,Das EFX,3,Mic Checka
3528,Grand Puba,4,360 Degrees (What Goes Around)
3529,DJ Quik,5,Jus Lyke Compton
3530,Spice 1,6,Welcome To The Ghetto
3531,House Of Pain,7,Jump Around
3532,Super Cat,8,Ghetto Red Hot
3533,A.D.O.R.,9,Let It All Hang Out
3534,Da Youngsta's,10,Pass Da Mic
3535,MC Serch,11,Here It Comes/Back To The Grill
3536,The College Boyz,12,Hollywood Paradox
3537,Miles Davis,13,The Doo-Bop Song
3538,Bushwick Bill,14,Ever So Clear
3539,N2Deep,15,Back To The Hotel
3540,Main Source,16,Fakin' The Funk
3541,Luke,17,Breakdown
3542,Gang Starr,18,Ex Girl To The Next Girl
3543,M.C. Brains,19,Brainstorming/G-String
3544,Double XX,20,Head Cracker
3545,Too $hort,21,I Want To Be Free
3546,Kris Kross,22,Warm It Up
3547,Zhigge,23,Toss It Up
3548,Brothers Uv Da Blakmarket,24,Livin' In Da Bottle
3549,M.C. Breed,25,Ain't Too Much Worried
3550,Arrested Development,1,People Everyday
3551,Das EFX,2,Mic Checka
3552,EPMD,3,Crossover
3553,Grand Puba,4,360 Degrees (What Goes Around)
3554,Spice 1,5,Welcome To The Ghetto
3555,MC Serch,6,Here It Comes/Back To The Grill
3556,DJ Quik,7,Jus Lyke Compton
3557,Super Cat,8,Ghetto Red Hot
3558,Bushwick Bill,9,Ever So Clear
3559,The College Boyz,10,Hollywood Paradox
3560,House Of Pain,11,Jump Around
3561,Da Youngsta's,12,Pass Da Mic
3562,Miles Davis,13,The Doo-Bop Song
3563,Gang Starr,14,Ex Girl To The Next Girl
3564,A.D.O.R.,15,Let It All Hang Out
3565,Double XX,16,Head Cracker
3566,Luke,17,Breakdown
3567,Zhigge,18,Toss It Up
3568,N2Deep,19,Back To The Hotel
